제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
가스부틴정100mg(트리메부틴말레산염),트리메부틴말레산염,이 약은  식도역류및열공헤르니아(틈새탈장)| 위ㆍ십이지장염|위ㆍ십이지장궤양에있어서의소화기능이상(복통|소화불량|구역|구토)과과민성대장증후군|경련성결장및소아질환(습관성구토|비감염성장관통과장애(변비|설사))에사용합니다.,성인은1회1~2정(100~200mg)씩|1일3회식전에복용합니다.연령|증상에따라적절히증감합니다.,습기와빛을 피해 실온에서 보관하십시오
가스앤드액(시메티콘),시메티콘,이 약은 위내시경검사시장내기포제거|복부(배부분)X선촬영시장내가스제거|위장관내가스로인한복부(배부분)팽만감|공기연하증(공기삼킴증)등의복부증상개선에사용합니다.,위내시경검사시장내기포제거의경우성인은검사15~40분전에40~80mg을약10ml의물과함께복용합니다.복부(배부분)X선검사시장내가스제거의경우성인은검사3~4일전부터1회40~80mg씩|1일3회식후또는식간(식사때와식사때사이에)에복용합니다.위장관내가스로인한복부(배부분)증상 개선의경우성인은1회40~80mg씩|1일3회식후또는취침시에복용합니다.연령|증상에따라적절히증감할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
가스제로구강필름(시메치콘),시메치콘,이 약은 위장관내가스로인한복부압박감|복부팽만감및배부름의완화에사용합니다.,성인은1회2~4매를식후또는자기전에필요시혀위에놓고녹여서복용합니다.1일8매를초과하여복용하지않아야하며|녹은후에는입안에머금지않고바로삼키도록합니다.,습기와빛을 피해 실온에서 보관하십시오
가스큐액(시메티콘),시메티콘,이 약은 위내시경검사시장내기포제거|복부X선촬영시장내가스제거|위장관내가스로인한복부증상(복부팽만감|공기연하증등)의개선에사용합니다.,성인은위내시경검사시장내기포제거에는검사15~40분전에40~80mg을약10mL의물과함께복용|복부X선검사시장내가스제거에는검사3~4일전부터1회40~80mg씩 1일3회식후또는식간에복용|위장관내가스로인한복부증상의개선에는1회40~80mg씩 1일3회식후또는취침시에복용합니다.연령|증상에따라적절히증감합니다.,습기와빛을피해보관하십시오.
간프로액(L아스파르트산L오르니틴),L아스파르트산L오르니틴,이 약은 간경변과같은중증의간질환해독의보조치료에사용합니다.,1회2포(6g)씩|1일2회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
갈타제산(베타갈락토시다제(아스퍼길루스)),베타갈락토시다제(아스퍼길루스),이 약은 1차성유당불내증과2차성유당불내증(단일증후성설사|급성소화불량증|감기성설사|백색변성설사|만성설사|미숙아·신생아의설사|경관영양식|경구유동식등의섭취시유당불내에의한설사)에의한소화불량의개선에사용합니다.,유아의유당불내에의한소화불량에는베타갈락토시다제로서1회1|250~2|500ONPG단위를수유시함께복용합니다.모유영양의경우에는소량의물에녹여수유도중에복용하고|인공영양의경우에는분유에타서복용합니다.이때조유온도는50℃를넘지않도록주의합니다.경관영양식|경구유동식등의섭취시유당불내에의한설사에는섭취유당량10g에대하여5|000ONPG단위를식사와함께복용합니다.연령과증상에따라적절히증감할수있습니다.,습기를피해서늘한곳에보관하십시오.
감마린디액,피레트린엑스|피페로닐부톡시드,이 약은 머릿니|사면발이|몸이의감염증치료에사용합니다.,반드시건조모발에사용하십시오.완전히도포가된후10분간방치한후따뜻한물을이용하여충분히거품을내어준후깨끗이행굽니다.10분이상은사용하지마십시오.약물을사용후모발에남아있는죽은머리이나석캐는반드시석캐제거용빗(참빗)을이용하여제거합니다.모발길이에따른사용량은허가사항을참고하십시오.한번사용후완치가되지않았을경우10일후에다시사용하십시오.,습기와빛을 피해 실온에서 보관하십시오
감마마그빅연질캡슐,γ오리자놀|피리독신염산염|티아민질산염|산화마그네슘|토코페롤아세테이트,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요통|견통등)|구각염|구순염|구내염|설염|습진|피부염증상의완화|각기|눈의피로와마그네슘결핍으로인한근육경련에사용합니다.,만12세이상및성인1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
감바로과립,갈근|마황|대추|육계|작약|감초|건강|에텐자미드|클로르페니라민말레산염|노스카핀|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상및 성인은1회1포씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
개비스콘더블액션현탁액,알긴산나트륨|탄산칼슘|탄산수소나트륨,이 약은 산역류|속쓰림|위내용물의역류로인한소화불량(예를들어식사후|임신중|역류성식도염과동반하는경우)개선에사용합니다.,성인및12세이상의소아는1회10~20mL을1일4회(식후및취침전)복용합니다.,빛을 피해 실온에서 보관하십시오
개비스콘페퍼민트현탁액,알긴산나트륨|탄산수소나트륨|탄산칼슘,이 약은 산역류|속쓰림|위내용물의역류로인한소화불량(예를들어식사후|임신중|역류성식도염과동반하는경우의)에사용합니다.,성인은1회1~2포(10~20mL)을1일4회(식후및취침전)복용합니다.,상온에서 보관하십시오
건아이점안액(폴리소르베이트80)(1회용),폴리소르베이트80,이 약은 눈의건조증상의완화|자극의일시적경감에사용합니다.,필요시1~2방울점안(눈에넣음)합니다.증상에따라적절히증감합니다.점안후남은액과용기는바로버리십시오.,습기와빛을 피해 실온에서 보관하십시오개봉한후에는1회만즉시사용하고|남은액과용기는바로버리십시오.
게루삼엠정(건조수산화알루미늄겔),건조수산화알루미늄겔,이 약은 위.십이지장궤양|위염|위산과다의제산작용및증상의개선에사용합니다.,성인은 1회1~2정(300~600mg)|1일3회식간에복용합니다.연령|증상에따라적절히증감합니다.,상온에서 보관하십시오
게루삼정,건조수산화알루미늄겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨,이 약은 위산과다|속쓰림|위부불쾌감|위부팽만감|체함|구역|구토|위통|신트림에사용합니다.,만15세이상및성인은1회2정|만8세이상15세미만은1회1정|1일3회식간(식사때와식사때사이)및취침시복용합니다.복용간격은4시간이상으로합니다.,습기와빛을 피해 실온에서 보관하십시오
게보린릴랙스연질캡슐,이부프로펜|산화마그네슘,이 약은 두통|치통|발치후동통(통증)|인후(목구멍)통|귀의통증|관절통|신경통|요통|근육통|견통(어깨결림)|타박통|골절통|염좌통(삠통증)|월경통(생리통)|외상통의진통오한(춥고떨리는증상)|발열시의해열에사용합니다.,만15세이상및성인은1회1캡슐씩|1일1~3회공복(빈속)시를피하여복용합니다.복용간격은4시간이상으로합니다.,습기와빛을 피해 실온에서 보관하십시오
게보린브이정(아세트아미노펜),아세트아미노펜,이 약은 감기로인한발열및동통(통증)|두통|신경통|근육통|월경통|염좌통(삔통증)|치통|관절통|류마티양동통(통증)에사용합니다,만12세이상소아및성인은1회1~2정씩|1일3~4회(4~6시간마다)필요시복용합니다.이 약은 가능한최단기간동안최소유효용량으로복용하며|1일최대4g(8정)을초과하여복용하지않습니다.,상온에서 보관하십시오
게보린소프트연질캡슐,이부프로펜|파마브롬,이 약은 두통|치통|발치후동통(통증)|인후(목구멍)통|귀의통증|관절통|신경통|요통|근육통|견통(어깨결림)|타박통|골절통|염좌통(삠통증)|월경통(생리통)|외상통의진통|오한(춥고떨리는증상)|발열시의해열에사용합니다.,만11세이상및성인은1회1캡슐씩1일1~3회공복(빈속)시를피하여복용합니다.복용간격은4시간이상으로합니다.,습기와빛을 피해 실온에서 보관하십시오
게보핏맥스플라스타(플루르비프로펜),플루르비프로펜,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건염|건초염|상완골상과염(테니스엘보우등)|근육통|외상후의종창·동통의진통·소염에사용합니다.,약면의박리지를떼어낸후1일2회환부에부착합니다.,빛을 피해 실온에서 보관하십시오
게보핏스트롱카타플라스마(디클로페낙나트륨),디클로페낙나트륨,이 약은 골관절염|어깨관절주위염|힘줄및힘줄윤활막염|힘줄주위염|팔꿈치통증(테니스엘보)|근육통|외상후부기및통증에사용합니다.,환부(질환부위)에1매씩|1일1회부착합니다.,습기와빛을 피해 실온에서 보관하십시오
게보핏파워플라스타(디클로페낙나트륨),디클로페낙나트륨,이 약은 퇴행성관절염(골(뼈)관절염)|어깨관절주위염|힘줄및힘줄윤활막염|힘줄주위염|위팔뼈상과염(테니스엘보등)|근육통(근|근막성요(허리)통증등)|외상(상처)후부기및통증의진통과소염(항염)에사용합니다.,만15세이상및성인은1회1매씩|1일1회환부(질환부위)에부착합니다.15세미만은사용하지마십시오.,습기와빛을 피해 실온에서 보관하십시오
게이트정(알마게이트),알마게이트,이 약은 위·십이지장궤양|위염|위산과다|속쓰림|구역|구토|위통|신트림의제산작용및증상의개선에사용합니다.,성인및12세이상의소아는1회2정(1g)씩|1일3회식후30분~1시간에씹어서복용합니다.필요시취침전에1회더복용할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
겔비스톤현탁액,알긴산나트륨|탄산수소나트륨|침강탄산칼슘,이 약은 산역류|속쓰림|위내용물의역류로인한소화불량(예를들어식사후|임신중|역류성식도염과동반하는경우의)에사용합니다.,성인및12세이상소아는1회10~20mL을1일4회|식후및취침전에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
겔티포르테연질캡슐,레티놀팔미테이트|에르고칼시페롤|티아민염산염|리보플라빈|피리독신염산염|시아노코발라민|아스코르브산|토코페롤아세테이트|니코틴산아미드|판토텐산칼슘|콜린타르타르산염|이노시톨|폴산|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|눈의건조감완화|야맹증(밤에잘못보는증상)|각기|눈의피로|뼈|이의발육불량|구루병의예방|말초혈행장애및갱년기시어깨.목결림|수족저림| 수족냉증(손|발이차가움)증상의완화에사용합니다.,성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
